temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,cloud,population,date,year,month,day,dayofweek
39.29000000000002,39.29000000000002,39.29000000000002,1006,27,1006,965,0.48,68,61,14097,2024-02-21,2024,2,21,2
38.19,38.19,38.19,1006,29,1006,961,0.98,273,67,20860,2024-02-21,2024,2,21,2
39.950000000000045,39.950000000000045,39.950000000000045,1006,27,1006,976,0.8,109,61,20939,2024-02-21,2024,2,21,2
38.35000000000002,38.35000000000002,38.35000000000002,1006,32,1006,984,2.01,220,47,13187,2024-02-21,2024,2,21,2
40.110000000000014,40.110000000000014,40.110000000000014,1006,30,1006,982,0.61,174,49,8067,2024-02-21,2024,2,21,2
39.57000000000005,39.57000000000005,39.57000000000005,1006,32,1006,995,1.4,185,28,13095,2024-02-21,2024,2,21,2
37.870000000000005,37.870000000000005,37.870000000000005,1007,29,1007,966,1.02,191,83,11298,2024-02-21,2024,2,21,2
37.75,37.75,37.75,1007,28,1007,961,1.07,191,80,4347,2024-02-21,2024,2,21,2
39.450000000000045,39.450000000000045,39.450000000000045,1006,28,1006,975,1.07,219,52,12218,2024-02-21,2024,2,21,2
40.60000000000002,40.60000000000002,40.60000000000002,1006,31,1006,1002,1.26,192,28,8504,2024-02-21,2024,2,21,2
39.53000000000003,39.53000000000003,39.53000000000003,1005,31,1005,996,1.9,21,46,7901,2024-02-21,2024,2,21,2
37.620000000000005,37.620000000000005,37.620000000000005,1006,29,1006,957,1.06,201,77,5159,2024-02-21,2024,2,21,2
39.710000000000036,39.710000000000036,39.710000000000036,1006,32,1006,995,1.44,190,27,10904,2024-02-21,2024,2,21,2
38.19,38.19,38.19,1006,30,1006,971,1.83,225,52,13261,2024-02-21,2024,2,21,2
38.32000000000005,38.32000000000005,38.32000000000005,1006,29,1006,963,0.9,231,66,257409,2024-02-21,2024,2,21,2
38.69,38.69,38.69,1006,33,1006,992,2.07,223,48,11656,2024-02-21,2024,2,21,2
39.450000000000045,39.450000000000045,39.450000000000045,1006,31,1006,993,1.28,237,40,9238,2024-02-21,2024,2,21,2
39.53000000000003,39.53000000000003,39.53000000000003,1006,33,1006,1002,1.24,176,54,8642,2024-02-21,2024,2,21,2
37.18000000000001,37.18000000000001,37.18000000000001,1006,33,1006,965,1.92,215,43,13261,2024-02-21,2024,2,21,2
38.57000000000005,38.57000000000005,38.57000000000005,1006,30,1006,974,1.68,273,68,20860,2024-02-21,2024,2,21,2
38.05000000000001,38.05000000000001,38.05000000000001,1006,32,1006,980,2.04,253,58,11601,2024-02-21,2024,2,21,2
37.34000000000003,37.34000000000003,37.34000000000003,1007,27,1007,952,0.63,194,83,9438,2024-02-21,2024,2,21,2
38.5,38.5,38.5,1006,30,1006,969,0.92,237,75,16675,2024-02-21,2024,2,21,2
38.03000000000003,38.03000000000003,38.03000000000003,1006,35,1006,990,2.0,252,49,8999,2024-02-21,2024,2,21,2
38.04000000000002,38.04000000000002,38.04000000000002,1006,30,1006,963,1.68,282,71,41561,2024-02-21,2024,2,21,2
39.44,39.44,39.44,1006,34,1006,1003,1.2,186,53,8642,2024-02-21,2024,2,21,2
37.10000000000002,37.10000000000002,37.10000000000002,1006,32,1006,959,1.54,222,40,13261,2024-02-21,2024,2,21,2
39.210000000000036,39.210000000000036,39.210000000000036,1006,28,1006,972,0.49,228,48,11897,2024-02-21,2024,2,21,2
39.610000000000014,39.610000000000014,39.610000000000014,1006,31,1006,993,1.33,220,33,9270,2024-02-21,2024,2,21,2
37.68000000000001,37.68000000000001,37.68000000000001,1006,33,1006,971,1.73,216,40,13261,2024-02-21,2024,2,21,2
39.629999999999995,39.629999999999995,39.629999999999995,1006,31,1006,995,1.32,228,36,9238,2024-02-21,2024,2,21,2
39.59000000000003,39.59000000000003,39.59000000000003,1006,32,1006,991,1.42,188,26,9254,2024-02-21,2024,2,21,2
39.55000000000001,39.55000000000001,39.55000000000001,1006,32,1006,991,1.43,190,26,9254,2024-02-21,2024,2,21,2
40.400000000000034,40.400000000000034,40.400000000000034,1006,31,1006,1001,1.35,209,28,11913,2024-02-21,2024,2,21,2
39.150000000000034,39.150000000000034,39.150000000000034,1006,28,1006,971,0.67,197,36,1788,2024-02-21,2024,2,21,2
37.72000000000003,37.72000000000003,37.72000000000003,1006,28,1006,952,1.17,41,49,15125,2024-02-21,2024,2,21,2
39.72000000000003,39.72000000000003,39.72000000000003,1006,22,1006,973,0.58,345,67,7152,2024-02-21,2024,2,21,2
40.620000000000005,40.620000000000005,40.620000000000005,1006,31,1006,1001,1.21,189,30,8245,2024-02-21,2024,2,21,2
40.53000000000003,40.53000000000003,40.53000000000003,1006,31,1006,1001,1.26,189,28,8570,2024-02-21,2024,2,21,2
38.74000000000001,38.74000000000001,38.74000000000001,1006,31,1006,984,1.86,263,63,26171,2024-02-21,2024,2,21,2
40.08000000000004,40.08000000000004,40.08000000000004,1006,31,1006,997,1.31,182,28,10317,2024-02-21,2024,2,21,2
